"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C1_Cin1";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";1;"2.2µF, 16V";;;
2;"C2_Cout1";"C_1210_3225Metric_Pad1.33x2.70mm_HandSolder";1;"47µF,25V,ceramic";;;
3;"C3_Cff1";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"270pF,ceramic";;;
4;"C_LM_in1";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"0.1µF";;;
5;"C_LM_out1";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"1µF";;;
6;"D1";"D_DO-41_SOD81_P10.16mm_Horizontal";1;"20-40V, 1A";;;
7;"D2_LED1";"LED_D5.0mm";1;"LED";;;
8;"Dsub1";"CONN_FM17W2P1-K120_MOL";1;"DA17w2_Pins_MountingHoles";;;
9;"D_LM1";"D_DO-41_SOD81_P10.16mm_Horizontal";1;"1N4002";;;
10;"J2";"USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal";1;"USB_C_Receptacle_USB2.0_14P";;;
11;"L1";"L_Axial_L9.5mm_D4.0mm_P15.24mm_Horizontal_Fastron_SMCC";1;"10µH, 1.5A";;;
12;"NTC_Head1";"PinHeader_1x02_P2.54mm_Vertical";1;"10k NTC";;;
13;"Q1_PNP1";"TO-92_Inline";1;"2N3906";;;
14;"R1_CC1, R2_CC2";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";2;"5.1kΩ";;;
15;"R3_Rfb_up1";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"182kΩ";;;
16;"R4_Rfb_dwn1";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"13.3 kΩ";;;
17;"R5_LED1";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"470Ω";;;
18;"R6_top1";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"180kΩ";;;
19;"R7_bottom1";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"22kΩ";;;
20;"R8_NTC1";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"18kΩ";;;
21;"R9_INH1, R_TM1, R_TM2";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";3;"10kΩ";;;
22;"R_CC1";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"2.2kΩ";;;
23;"R_SNS1";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"3.6Ω";;;
24;"U1";"SOT-23-5_HandSoldering";1;"LMR62014XMF";;;
25;"U2";"SOIC-8_3.9x4.9mm_P1.27mm";1;"BQ2002T1";;;
26;"U_LM317";"TO-220-3_Vertical";1;"LM317_TO-220";;;
